Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
5,21127017,9,9,1
6,21127018,9,9,1
7,21127019,9,9,1
8,21127020,9,9,1
9,21127021,9,9,1
Class 21CLC01
No,ID,Mid,Final,Other
1,21127004,9,9,1
2,21127005,9,9,1
3,21127006,9,9,1
4,21127007,9,9,1
5,21127008,9,9,1
6,21127009,9,9,1
7,21127010,9,9,1
8,21127011,9,9,1
9,21127012,9,9,1
Class 21CLC02
No,ID,Mid,Final,Other
1,21127013,9,9,1
2,21127014,9,9,1
3,21127015,9,9,1
4,21127016,9,9,1
